[0, 513.5534]
[0.0008, 634.3555]
[0.0016, 284.4791]
[0.0023, -75.6512]
[0.0031, -401.6666]
[0.0039, -114.6163]
[0.0047, 370.8654]
[0.0055, 591.9935]
[0.0062, 570.8443]
[0.007, 29.733]
[0.0078, -300.9437]
[0.0086, -207.3102]
[0.0094, 110.2006]
[0.0102, 638.4364]
[0.0109, 616.244]
[0.0117, 251.6164]
[0.0125, -124.9993]
[0.0133, -371.845]
[0.0141, 26.8834]
[0.0148, 455.1667]
[0.0156, 643.2602]
[0.0164, 516.2043]
[0.0172, -65.2076]
[0.018, -285.9647]
[0.0188, -158.8798]
[0.0195, 227.159]
[0.0203, 699.199]
[0.0211, 548.0991]
[0.0219, 182.5246]
[0.0227, -211.049]
[0.0234, -347.6692]
[0.0242, 127.5608]
[0.025, 490.1559]
[0.0258, 644.6638]
[0.0266, 397.7368]
[0.0273, -179.4243]
[0.0281, -297.2148]
[0.0289, -139.5515]
[0.0297, 313.1636]
[0.0305, 689.7401]
[0.0313, 436.474]
[0.032, 74.3135]
[0.0328, -325.2088]
[0.0336, -328.174]
[0.0344, 183.7156]
[0.0352, 484.5575]
[0.0359, 596.4511]
[0.0367, 229.2705]
[0.0375, -299.633]
[0.0383, -330.0829]
[0.0391, -134.6129]
[0.0398, 371.177]
[0.0406, 623.066]
[0.0414, 300.9887]
[0.0422, -60.8013]
[0.043, -443.3272]
[0.0437, -302.1352]
[0.0445, 208.4143]
[0.0453, 459.3606]
[0.0461, 512.0678]
[0.0469, 40.0245]
[0.0477, -404.1705]
[0.0484, -366.3947]
[0.0492, -119.3899]
[0.05, 413.5534]
[0.0508, 525.9772]
[0.0516, 167.9836]
[0.0523, -199.9833]
[0.0531, -533.5358]
[0.0539, -253.7048]
[0.0547, 224.8926]
[0.0555, 439.4881]
[0.0562, 412.1736]
[0.057, -134.7206]
[0.0578, -470.7842]
[0.0586, -382.1283]
[0.0594, -69.174]
[0.0602, 454.9375]
[0.0609, 429.0628]
[0.0617, 61.2039]
[0.0625, -318.1844]
[0.0633, -567.3374]
[0.0641, -170.4453]
[0.0648, 256.4772]
[0.0656, 443.6884]
[0.0664, 316.2311]
[0.0672, -265.1005]
[0.068, -485.2957]
[0.0687, -357.1687]
[0.0695, 30.3898]
[0.0703, 504.4236]
[0.0711, 355.7868]
[0.0719, -6.8614]
[0.0727, -397.0525]
[0.0734, -529.842]
[0.0742, -50.3424]
[0.075, 316.9509]
[0.0758, 476.5741]
[0.0766, 235.1674]
[0.0773, -336.0817]
[0.0781, -447.5828]
[0.0789, -283.2679]
[0.0797, 176.4452]
[0.0805, 560.3489]
[0.0812, 314.7217]
[0.082, -39.5065]
[0.0828, -430.8224]
[0.0836, -425.3267]
[0.0844, 95.2578]
[0.0852, 405.0078]
[0.0859, 526.0011]
[0.0867, 168.0899]
[0.0875, -351.3968]
[0.0883, -372.3052]
[0.0891, -167.192]
[0.0898, 348.3196]
[0.0906, 609.9854]
[0.0914, 297.7163]
[0.0922, -54.2574]
[0.093, -426.983]
[0.0937, -276.0299]
[0.0945, 244.2176]
[0.0953, 504.7759]
[0.0961, 566.9855]
